sign;name;cost;quant;weight
;Автомагнитола;1 260.00;1;0.002
;страна происхождения-Соединенные Штаты;;;
;Амортизаторы подвески (стойки);226.8;1;0.002
;страна происхождения-Евросоюз;;;
;Амортизаторы подвески (стойки);538.8;1;0.003
;страна происхождения-Соединенные Штаты;;;
;Бак топливный в сборе;3 600.00;1;0.012
;страна происхождения-Евросоюз;;;
;Балка подвески передняя;8 694.00;1;0.034
;страна происхождения-Соединенные Штаты;;;
;Балка подвески передняя;7 560.00;1;0.032
;страна происхождения-Соединенные Штаты;;;
;Бамперы в сборе;840;1;0.01
;страна происхождения-Евросоюз;;;
;Бачок омывателя в сборе;1 380.00;1;0.001
;страна происхождения-Соединенные Штаты;;;
;Блок аbs в сборе;1 260.00;1;0.006
;страна происхождения-Соединенные Штаты;;;
;Блок автоматического управления а/м в сборе;1 200.00;4;0.004
;страна происхождения-Соединенные Штаты;;;
;Блок автоматического управления а/м в сборе;1 020.00;1;0.001
;страна происхождения-Соединенные Штаты;;;
;Блок автоматического управления а/м в сборе;540;1;0.001
;страна происхождения-Соединенные Штаты;;;
;Блок предохранителей;780;1;0.0002
;страна происхождения-Соединенные Штаты;;;
;Вентиляторы охлаждения двигателя в сборе;1 380.00;1;0.004
;страна происхождения-ЯПОНИЯ;;;
;Глушитель в разобранном виде;2 280.00;1;0.018
;страна происхождения-Соединенные Штаты;;;
;Двери в сборе;1 740.00;1;0.027
;страна происхождения-Евросоюз;;;
;Двери в сборе;1 860.00;1;0.027
;страна происхождения-Евросоюз;;;
;Двери в сборе;3 000.00;1;0.042
;страна происхождения-Соединенные Штаты;;;
;Двери в сборе;4 500.00;1;0.039
;страна происхождения-Соединенные Штаты;;;
;Двери в сборе;1 247.40;1;0.029
;страна происхождения-Евросоюз;;;
;Дверь;2 100.00;1;0.034
;страна происхождения-АВСТРАЛИЯ;;;
;Дверь;3 240.00;1;0.042
;страна происхождения-Соединенные Штаты;;;
;Диски тормозные;540;1;0.004
;страна происхождения-ЯПОНИЯ;;;
;Диски тормозные;540;1;0.004
;страна происхождения-АВСТРАЛИЯ;;;
;Диски тормозные;566.4;2;0.005
;страна происхождения-Евросоюз;;;
;Диффузор радиатора в сборе;1 560.00;1;0.001
;страна происхождения-Соединенные Штаты;;;
;Замки, предназначенные для установки в моторных транспортных средствах;780;1;0.0002
;страна происхождения-Соединенные Штаты;;;
;Замки, предназначенные для установки в моторных транспортных средствах;540;1;0.0001
;страна происхождения-Евросоюз;;;
;Защита крыла;425.4;1;0.001
;страна происхождения-Соединенные Штаты;;;
;Зеркало заднего вида наружное (оптически обработанное) в сборе;960;1;0.002
;страна происхождения-Соединенные Штаты;;;
;Зеркало заднего вида салонное (оптически необработанное) в сборе;660;1;0.001
;страна происхождения-Евросоюз;;;
;Измеритель потока воздуха;240;1;0.001
;страна происхождения-Евросоюз;;;
;Измеритель потока воздуха;480;1;0.001
;страна происхождения-Евросоюз;;;
;Капот в сборе;2 760.00;1;0.019
;страна происхождения-Соединенные Штаты;;;
;Капот в сборе;3 000.00;1;0.019
;страна происхождения-Соединенные Штаты;;;
;Капот в сборе;10 620.00;1;0.019
;страна происхождения-Соединенные Штаты;;;
;Карданные валы в сборе;2 400.00;1;0.018
;страна происхождения-Соединенные Штаты;;;
;Карданные валы в сборе;3 515.40;1;0.017
;страна происхождения-Соединенные Штаты;;;
;Коммутатор в сборе;1 140.00;1;0.0002
;страна происхождения-КАНАДА;;;
;Компрессор кондиционера;1 800.00;1;0.003
;страна происхождения-Евросоюз;;;
;Корпус воздушного фильтра в сборе;600;1;0.002
;страна происхождения-Соединенные Штаты;;;
;Корпус воздушного фильтра в сборе;637.8;1;0.002
;страна происхождения-Соединенные Штаты;;;
;Корпус термостата;1 980.00;1;0.0001
;страна происхождения-Евросоюз;;;
;КПП;18 240.00;1;0.053
;страна происхождения-Евросоюз;;;
;КПП;6 540.00;1;0.053
;страна происхождения-Евросоюз;;;
;КПП;5 745.60;1;0.05
;страна происхождения-Соединенные Штаты;;;
;Кронштейн пластмассовый;780;1;0.001
;страна происхождения-Евросоюз;;;
;Кронштейн пластмассовый;1 020.00;1;0.001
;страна происхождения-Соединенные Штаты;;;
;Крылья в сборе;1 020.00;1;0.005
;страна происхождения-Соединенные Штаты;;;
;Крылья в сборе;2 100.00;1;0.005
;страна происхождения-Соединенные Штаты;;;
;Кулисы в сборе;2 419.20;1;0.001
;страна происхождения-Соединенные Штаты;;;
;Лонжерон;780;1;0.014
;страна происхождения-Евросоюз;;;
;Лонжерон;780;1;0.007
;страна происхождения-Евросоюз;;;
;Лючек бензобака;540;1;0.0004
;страна происхождения-Соединенные Штаты;;;
;Лючек бензобака;780;1;0.0004
;страна происхождения-Соединенные Штаты;;;
;Молдинг;720;1;0.001
;страна происхождения-Евросоюз;;;
;Мост ведущий в сборе;11 520.00;1;0.093
;страна происхождения-Евросоюз;;;
;Панель управления печкой (переключатель поворотный) в сборе;1 260.00;1;0.0003
;страна происхождения-Соединенные Штаты;;;
;Переключатели кнопочные в сборе;1 260.00;1;0.0001
;страна происхождения-Евросоюз;;;
;Петли двери;240;1;0.0005
;страна происхождения-Евросоюз;;;
;Петли двери;240;1;0.001
;страна происхождения-Соединенные Штаты;;;
;Петли двери;510;2;0.001
;страна происхождения-Соединенные Штаты;;;
;Полуоси приводные в сборе;960;1;0.009
;страна происхождения-Соединенные Штаты;;;
;Прицепное устройство в сборе;1 980.00;1;0.02
;страна происхождения-Евросоюз;;;
;Радиатор автомобильный в сборе;840;1;0.006
;страна происхождения-Соединенные Штаты;;;
;Радиатор автомобильный в сборе;3 480.00;1;0.006
;страна происхождения-Соединенные Штаты;;;
;Радиатор автомобильный в сборе;540;1;0.005
;страна происхождения-Соединенные Штаты;;;
;Радиатор автомобильный в сборе;780;1;0.006
;страна происхождения-Соединенные Штаты;;;
;Рамка передняя;2 700.00;1;0.026
;страна происхождения-Евросоюз;;;
;Рамка передняя;3 300.00;1;0.028
;страна происхождения-Евросоюз;;;
;Редуктор моста в сборе;13 620.00;1;0.03
;страна происхождения-Соединенные Штаты;;;
;Рейлинги в сборе;480;2;0.005
;страна происхождения-Евросоюз;;;
;Реле на напряжение 12 в;540;1;0.0002
;страна происхождения-Евросоюз;;;
;Реле на напряжение 12 в;300;1;0.0002
;страна происхождения-Евросоюз;;;
;Ремни безопасности в сборе;1 415.40;1;0.001
;страна происхождения-Соединенные Штаты;;;
;Решетка радиатора в сборе;1 500.00;1;0.001
;страна происхождения-Соединенные Штаты;;;
;Решетка радиатора в сборе;1 020.00;1;0.001
;страна происхождения-Соединенные Штаты;;;
;Решетка радиатора в сборе;720;1;0.001
;страна происхождения-Соединенные Штаты;;;
;Ручка;300;1;0.0002
;страна происхождения-Соединенные Штаты;;;
;Ручка;780;1;0.0002
;страна происхождения-Соединенные Штаты;;;
;Рычаги подвески в сборе;566.4;2;0.006
;страна происхождения-АВСТРАЛИЯ;;;
;Стартер;1 200.00;1;0.007
;страна происхождения-Евросоюз;;;
;Стекло;240;1;0.001
;страна происхождения-АВСТРАЛИЯ;;;
;Стекло боковое без обрамления;480;1;0.004
;страна происхождения-Евросоюз;;;
;Стекло заднее с обогревом;780;1;0.006
;страна происхождения-Евросоюз;;;
;Стеклоподъемник;2 400.00;1;0.001
;страна происхождения-ЯПОНИЯ;;;
;Ступицы в сборе;4 920.00;2;0.011
;страна происхождения-Соединенные Штаты;;;
;Ступицы в сборе;1 200.00;1;0.005
;страна происхождения-Соединенные Штаты;;;
;Ступицы в сборе;1 740.00;1;0.006
;страна происхождения-Соединенные Штаты;;;
;Суппорт;3 360.00;2;0.007
;страна происхождения-Соединенное королевство;;;
;Суппорт (циллиндр тормозной) в сборе;567;1;0.002
;страна происхождения-АВСТРАЛИЯ;;;
;Трубки кондиционера;1 140.00;1;0.0005
;страна происхождения-Соединенные Штаты;;;
;Трубки кондиционера;280.8;1;0.0005
;страна происхождения-Соединенные Штаты;;;
;Узел подвески (рессора) в сборе;420;1;0.024
;страна происхождения-АВСТРАЛИЯ;;;
;Указатели поворотов в сборе;240;1;0.001
;страна происхождения-Соединенные Штаты;;;
;Фары в сборе;2 760.00;1;0.005
;страна происхождения-Соединенные Штаты;;;
;Фары в сборе;1 560.00;1;0.005
;страна происхождения-Соединенные Штаты;;;
;Фонари задние в сборе;3 480.00;2;0.005
;страна происхождения-Соединенные Штаты;;;
;Фонари задние в сборе;540;1;0.002
;страна происхождения-Соединенные Штаты;;;
;Фонари задние в сборе;3 000.00;1;0.002
;страна происхождения-Соединенные Штаты;;;
;Фонари задние в сборе;1 020.00;1;0.002
;страна происхождения-Соединенные Штаты;;;
;Части бампера: усилитель;198.6;1;0.003
;страна происхождения-Евросоюз;;;
;Шина;1 200.00;2;0.017
;страна происхождения-Евросоюз;;;
;Шина;660;1;0.011
;страна происхождения-Евросоюз;;;
;Шина;480;2;0.016
;страна происхождения-Евросоюз;;;
;Эмблема пластмассовая;540;1;0.0001
;страна происхождения-Евросоюз;;;
