sign;name;cost;quant;weight
;Автомагнитола;40;1;0.1
;страна происхождения-Соединенные Штаты;;;
;Амортизатор подвески;10;4;0.0076
;страна происхождения-Соединенное королевство;;;
;Антенна;3;1;0.0012
;страна происхождения-Соединенные Штаты;;;
;Балка подвески (двигателя) в сборе;40;2;0.0407
;страна происхождения-Соединенное королевство;;;
;Бампер;28;2;0.0169
;страна происхождения-Германия;;;
;Бачек г/у (гидроусилителя);14;1;0.0002
;страна происхождения-Германия;;;
;Бачек омывателя;2.5;1;0.0003
;страна происхождения-Германия;;;
;Бачек расширительный;2;1;0.0005
;страна происхождения-Соединенное королевство;;;
;Блок предохранителей;6;3;0.0003
;страна происхождения-Соединенное королевство;;;
;Блок управления двигателя;8;4;0.0023
;страна происхождения-Соединенное королевство;;;
;Глушитель в разобранном виде;10;1;0.0117
;страна происхождения-Соединенное королевство;;;
;Датчик уровня топлива в сборе;3;1;0.0003
;страна происхождения-Соединенное королевство;;;
;Дверь в сборе и её части;120;4;0.086
;страна происхождения-Германия;;;
;Дефлектор;3.5;1;0.0001
;страна происхождения-Соединенные Штаты;;;
;Динамик;10;1;0.0003
;страна происхождения-Англия;;;
;Диск колесный легкосплавный R=17;64;4;0.0417
;страна происхождения-Соединенное королевство;;;
;Дисплей бортового компьютра;3;1;0.001
;страна происхождения-Германия;;;
;Дождевик;3;1;0.0003
;страна происхождения-Соединенное королевство;;;
;Защита двигателя;8;2;0.0019
;страна происхождения-Соединенное королевство;;;
;Защита крыла;4;4;0.0012
;страна происхождения-ЯПОНИЯ;;;
;Зеркало заднего вида салонное;20;2;0.0014
;страна происхождения-Соединенное королевство;;;
;Капот в сборе;17;1;0.0132
;страна происхождения-Соединенное королевство;;;
;Колонка рулевая;15;1;0.0133
;страна происхождения-Соединенное королевство;;;
;Консоль;5;1;0.0022
;страна происхождения-Соединенное королевство;;;
;Корпус воздушного фильтра;2;1;0.0014
;страна происхождения-Германия;;;
;КПП (коробка переключения передач);45;1;0.045
;страна происхождения-Соединенное королевство;;;
;Кронштейн пластмассовый;40;10;0.0085
;страна происхождения-Соединенное королевство;;;
;Крыло;18;3;0.0107
;страна происхождения-ЯПОНИЯ;;;
;Крышка багажника в сборе;18;1;0.0122
;страна происхождения-ГЕРМАНИЯ;;;
;Кулиса;5;1;0.001
;страна происхождения-Соединенное королевство;;;
;Лючок бензобака;3;1;0.0002
;страна происхождения-Германия;;;
;Молдинг;3;1;0.0006
;страна происхождения-КАНАДА;;;
;Насос АБС;2;1;0.0048
;страна происхождения-Соединенные Штаты;;;
;Насос топливный;2;1;0.0029
;страна происхождения-Соединенное королевство;;;
;Обшивка салона;14;4;0.0041
;страна происхождения-Соединенное королевство;;;
;Отопитель салона в сборе;5;1;0.0075
;страна происхождения-Соединенное королевство;;;
;Панель управления печкой;5;1;0.0002
;страна происхождения-Соединенное королевство;;;
;Патрубок;9;3;0.0009
;страна происхождения-Соединенное королевство;;;
;Педаль;5;1;0.0015
;страна происхождения-Германия;;;
;Перекл.рул.колонки в сборе;1.5;1;0.0001
;страна происхождения-Германия;;;
;Петля капота;1.5;1;0.0003
;страна происхождения-Соединенное королевство;;;
;Подушка безопасности;7.5;5;0.0035
;страна происхождения-Соединенное королевство;;;
;Полка багажника;6;2;0.0027
;страна происхождения-Германия;;;
;Полуось;10;2;0.0083
;страна происхождения-Соединенное королевство;;;
;Пружина;8;2;0.0045
;страна происхождения-Соединенные Штаты;;;
;Радиатор масляной;6;2;0.0038
;страна происхождения-Соединенное королевство;;;
;Рамка капота;3;1;0.0008
;страна происхождения-Германия;;;
;Рамка передняя в сборе;5;1;0.0038
;страна происхождения-Соединенное королевство;;;
;Реле на напряжение 12 В;40;4;0.0008
;страна происхождения-Соединенное королевство;;;
;Ремень безопасности;7.5;5;0.0038
;страна происхождения-Соединенные Штаты;;;
;Рычаг ручника;3.5;1;0.0008
;страна происхождения-Германия;;;
;Стартер;15;1;0.007
;страна происхождения-Соединенные Штаты;;;
;Тросик капота;3;1;0.0003
;страна происхождения-Соединенное королевство;;;
;Трубки кондиционера;4;1;0.0004
;страна происхождения-Соединенное королевство;;;
;Фара;6;2;0.0076
;страна происхождения-Соединенное королевство;;;
;Фонарь;2;1;0.001
;страна происхождения-Германия;;;
;Цилиндр сцепления;3;1;0.032
;страна происхождения-ГЕРМАНИЯ;;;
;Цилиндр тормозной гидравлический;3;1;0.0032
;страна происхождения-Германия;;;
;Часть бампера: усилитель;5;1;0.0032
;страна происхождения-ЯПОНИЯ;;;
;Шина R=16;140;4;0.0444
;страна происхождения-ЯПОНИЯ;;;
;Щеткодержатель;2;1;0.0003
;страна происхождения-Соединенные Штаты;;;
;Щиток (блок приборов) в сборе;1.5;1;0.0015
;страна происхождения-Соединенное королевство;;;
;Электропроводка (в жгуте) с соединительными приспособлениями;10;1;0.0025
;страна происхождения-Соединенные Штаты;;;
